Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Connection type (product.metafields.shopify.connection-type),Material (product.metafields.shopify.material),Mouse technology (product.metafields.shopify.mouse-technology),Mouse/Trackball features (product.metafields.shopify.mouse-trackball-features),Power source (product.metafields.shopify.power-source),Treatment objective (product.metafields.shopify.treatment-objective),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
0929-pod-pouch-secure-tamper-proof-courier-bags100-pcs-14-x-16-inch,Pod Pouch Secure Tamper Proof Courier Bags100 Pcs (14 X 16 Inch),"<p><br></p>""<p><strong> POD pouch Secure Tamper Proof Courier Bags,100 pcs (14 x 16 Inch)</strong></p>
<p><strong>Size</strong>: 14 x 16 Inch</p>
<p><strong>Pack of 100</strong></p>
<p>Finest Quality Courier bags used of opaque materials convenient for protect your privacy with a professional appearance. The  Branded mailing bags have a peel-off strip that is very sticky that will seal the bag very well. These are a good strong shipping bags. If you have many orders need to post everyday, these plastic mailing bags perfect for you! </p>
<p>  Branded temper proof mailer bags are quite useful for soft items or other non breakable items. They are definitely quite durable and the sticky strip sticks very well which protects shipment from tempering. Pressure sensitive adhesive provides a high strength, durable closure that is water and dirt resistant. The Mailing Courier bag is thin, Secure, durable, and quite flexible and it's easy to add in a bit of padding, like newspaper or bubble wrap, for extra protection.Top-quality mailers are tear and puncture resistant. These Courier Bags keeps contents secure against moisture, chemicals, tampering, puncturing and tearing.</p>
<p><br></p>""",Wukusy,,Office,"Plastic Bag, Product Packing Bag",true,Title,Default Title,,,,,,,,0929_14x16_plain_poly_bag,600.0,wukusy,deny,wukusy,1209.00,,true,true,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/CS6o9XUIw7nx6iODZodQX9EVUbn8fZNNLIrTs09W.jpg?v=1742806276,1,Pod Pouch Secure Tamper Proof Courier Bags100 Pcs (14 X 16 Inch) - LootFaat,false,,,,,,,,,,,,,,,,,,,,,,,g,,323.73,true,,,true,,,active
0929-pod-pouch-secure-tamper-proof-courier-bags100-pcs-14-x-16-inch,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/wNaWN8rY3QiqeZrlQZGGwK2vQjHMtcmCtygLos3l.jpg?v=1742806276,2,Pod Pouch Secure Tamper Proof Courier Bags100 Pcs (14 X 16 Inch) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0929-pod-pouch-secure-tamper-proof-courier-bags100-pcs-14-x-16-inch,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/TFmR8LDfkPDRbQpELZzI6D6CK8jjN0KE7FBokCrM.jpg?v=1742806276,3,Pod Pouch Secure Tamper Proof Courier Bags100 Pcs (14 X 16 Inch) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0929-pod-pouch-secure-tamper-proof-courier-bags100-pcs-14-x-16-inch,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/QyIGMsK4a4S2OrPmovEzrRJ7sfQ5nl5YcuR1unAa_thumb_fb5d0521-ca65-4c9c-9262-b5ffe1c4f6c6.jpg?v=1742806276,4,Pod Pouch Secure Tamper Proof Courier Bags100 Pcs (14 X 16 Inch) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acrylic-paint-color-kits-1-set-4-color-1-set,Acrylic Paint Color Kits 1 Set 4 Color (1 Set),"<p><strong><span>Acrylic paint</span> Color for Adults Beginner - Adults' Paint by Number Kits on Canvas - DIY Oil Painting With 1 Pc Mix Design Re<span class=""a-size-large product-title-word-break"" id=""productTitle"">usable Drawing Plastic </span><span class=""a-size-large product-title-word-break"" id=""productTitle"">Stencils for Painting (1 Set)</span></strong></p><p><strong>Description :-</strong><br><br></p><ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">PRACTICE MINDFULNESS AND FIND INNER PEACE. Forget time and dab your afternoons away. Enjoy the calming and almost hypnotic feeling that paint by number kits for adults give.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">A GIFT FOR ALL TALENT LEVELS: Number painting for adults is a hobby that is easy, unhurried, methodical and immensely rewarding. paint by number kits make great gifts.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""><span>Safe - Pigment Is Non-Toxic And Safe High-Quality Acrylic Pigments. Safe To Use. Note: Inedible. Please Keep Out Of Reach Of Children And Pets.<br></span><br></span></li>
<li class=""a-spacing-mini""><span>Excellent decoration in your home, kitchen, hotel and restaurant, and be the best gift for parents, friends, lovers, children on birthday, weddings, Christmas, parties.<br><br></span></li>
<li class=""a-spacing-mini""><span>Perfect Gift - Great Gift Choice For Birthday, Christmas, Thanksgiving Day, New Year And Any Other Important Occasions. acrylic paint by number is a perfect gift for parents, lovers, friends, children on birthday, weddings, parties, Christmas etc. Makes for an excellent choice as a unique gift–even the elder would love it.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Package Includes: 1pcs Mix Design Re<span class=""a-size-large product-title-word-break"" id=""productTitle"">usable Drawing Plastic </span><span class=""a-size-large product-title-word-break"" id=""productTitle"">Stencils for Painting</span>, 1 set acrylic paints</span></li>
</ul><p><br><strong>Dimension :-<br></strong></p><p><!-- x-tinymce/html -->



</p><p>Volu. Weight (Gm) :- 125<br> <br>Product Weight (Gm) :- 31<br> <br>Ship Weight (Gm) :- 125<br> <br>Length (Cm) :- 24<br> <br>Breadth (Cm) :- 12<br> <br>Height (Cm) :- 2<strong></strong></p>",Wukusy,,Office,Office Products,true,Title,Default Title,,,,,,,,4203_acrylic_paint_color_kit_1_set_no7,125.0,wukusy,deny,wukusy,199.00,,true,true,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/bvGj3DRczmT8av7QBYcEKt9s5rw2BDCcfZBZgbqQ.jpg?v=1742806441,1,Acrylic Paint Color Kits 1 Set 4 Color (1 Set) - LootFaat,false,,,,,,,,,,,,,,,,,,,,,,,g,,62.78,true,,,true,,,active
acrylic-paint-color-kits-1-set-4-color-1-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/nddcDq7TFGrab8xPG8lw5RdLUvAJiIxGiS4oY8YC.jpg?v=1742806441,2,Acrylic Paint Color Kits 1 Set 4 Color (1 Set) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acrylic-paint-color-kits-1-set-4-color-1-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/2NN7q9EE5Czg9LrfrK7p6LHdmTiNVDXj0xJpIcCk.jpg?v=1742806441,3,Acrylic Paint Color Kits 1 Set 4 Color (1 Set) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acrylic-paint-color-kits-1-set-4-color-1-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/zz3HHZkOtyNdXcKO3t9sO3upjlfShfhyx2sZ8znK.jpg?v=1742806441,4,Acrylic Paint Color Kits 1 Set 4 Color (1 Set) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acrylic-paint-color-kits-1-set-4-color-1-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/RMFkjwTLUkRnKNKKSJFuGI1yXDlaRoPOrcIlX8hU.jpg?v=1742806441,5,Acrylic Paint Color Kits 1 Set 4 Color (1 Set) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acrylic-paint-color-kits-1-set-4-color-1-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/urXT1b2U0OuplSe0PzHihk4DsOz9GjrLWMvyx2SR.jpg?v=1742806441,6,Acrylic Paint Color Kits 1 Set 4 Color (1 Set) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acrylic-paint-color-kits-1-set-4-color-1-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/Y04Xw64zENisv3wmAWTo3tIaRVTxLhzn7t1PSQzV_thumb_b30fc15b-97f2-4078-8450-fe86ab8122fc.jpg?v=1742806441,7,Acrylic Paint Color Kits 1 Set 4 Color (1 Set) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lunch-box-bag-for-women-and-men-stylish-and-convenient-1-pc,Lunch Box Bag For Women And Men  Stylish And Convenient (1 Pc),"<p><strong>Lunch Box Bag for Women and Men – Stylish and Convenient <span class=""a-size-large product-title-word-break"" id=""productTitle"">Lunch Bag for Women Men Lunch Bag Reusable With Zipper Closure, Handles Lunch Bag for Office Work Picnic Beach or Travel (1 Pc)</span></strong></p><p><strong>Description:</strong><br></p><ul>
<li>
<strong>Versatile and Stylish:</strong> A sleek, unisex design that is perfect for both women and men, ideal for work, school, or picnics.<br><br>
</li>
<li>
<strong>Spacious &amp; Practical:</strong> room to store your lunch, snacks, and drinks with multiple compartments for easy organization.<br><br>
</li>
<li>
<strong>Comfortable to Carry:</strong> Features sturdy handles. <br><br>
</li>
<li>
<strong>Easy to Clean:</strong> Simple to wipe down or machine wash, making maintenance a breeze.<br><br>
</li>
<li>
<strong>Comfortable &amp; Convenient:</strong> Features a comfortable top handle for easy carrying on the go.<br><br>
</li>
<li>
<strong>Perfect for On-the-Go:</strong> Ideal for busy professionals, students, or anyone looking for a stylish yet functional way to bring lunch anywhere.</li>
</ul><p><strong>Dimension:-</strong></p><p>Volu. Weight (Gm) :- 2090<br> <br>Product Weight (Gm) :- 221<br> <br>Ship Weight (Gm) :- 2090<br> <br>Length (Cm) :- 25<br> <br>Breadth (Cm) :- 26<br> <br>Height (Cm) :- 16</p>",Wukusy,,Office,Office Products,true,Title,Default Title,,,,,,,,4500_insulated_zipper_lunch_bag_1pc,2090.0,wukusy,deny,wukusy,399.00,,true,true,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/OnHcsGUDYKAtbFzH9ooxobOi8EOttlvl17IqKr2u.jpg?v=1742806524,1,Lunch Box Bag For Women And Men  Stylish And Convenient (1 Pc) - LootFaat,false,,,,,,,,,,,,,,,,,,,,,,,g,,76.30,true,,,true,,,active
lunch-box-bag-for-women-and-men-stylish-and-convenient-1-pc,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/dERYPwETSY6eoQieKATAqJA0LNbW2cFZRtVJILcp.jpg?v=1742806524,2,Lunch Box Bag For Women And Men  Stylish And Convenient (1 Pc) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lunch-box-bag-for-women-and-men-stylish-and-convenient-1-pc,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/d0nV7DZuvmnl3EKIKg2RkAOW8kEFVPqJW2d7KDV2.jpg?v=1742806524,3,Lunch Box Bag For Women And Men  Stylish And Convenient (1 Pc) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lunch-box-bag-for-women-and-men-stylish-and-convenient-1-pc,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/zS3t3z8tE7tn1FtwdrrDas8Qxh7tmL8QYo4iBpRK.jpg?v=1742806524,4,Lunch Box Bag For Women And Men  Stylish And Convenient (1 Pc) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lunch-box-bag-for-women-and-men-stylish-and-convenient-1-pc,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/TvFg1BcrO6k8h7nksqwNeAChkBkyKSw1LUIEcFpj.jpg?v=1742806524,5,Lunch Box Bag For Women And Men  Stylish And Convenient (1 Pc) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lunch-box-bag-for-women-and-men-stylish-and-convenient-1-pc,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/r9ZiKxyrpdqYg28NVlmj8ZOa5FElTXpvH4ZVqsMA.jpg?v=1742806524,6,Lunch Box Bag For Women And Men  Stylish And Convenient (1 Pc) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lunch-box-bag-for-women-and-men-stylish-and-convenient-1-pc,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/qnf2XIW40KNgBp0CyWLXoQ1esFBnwyzYAqKnLLHR_thumb_809f17c9-2352-40a0-8d1e-a2bdbe7f01a3.jpg?v=1742806524,7,Lunch Box Bag For Women And Men  Stylish And Convenient (1 Pc) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
